100	1	1
125	2	1
56	3	1
50	4	1
44	5	1
50	6	1
44	7	1
44	8	1
44	9	1
44	10	1
44	11	1
37	12	1
44	13	1
37	14	1
44	15	1
50	16	1
119	17	1
50	18	1
50	19	1
44	20	1
50	21	1
81	22	1
87	23	1
100	24	1
81	25	1
63	26	1
87	27	1
81	28	1
87	29	1
75	30	1
313	31	1
319	32	1
63	33	1
69	34	1
44	35	1
50	36	1
44	37	1
50	38	1
263	39	1
713	40	1
744	41	1
231	42	1
919	43	1
1531	44	1
1481	45	1
169	46	1
56	47	1
63	48	1
50	1	2
44	2	2
50	3	2
50	4	2
50	5	2
37	6	2
44	7	2
44	8	2
37	9	2
44	10	2
563	11	2
113	12	2
44	13	2
44	14	2
44	15	2
44	16	2
44	17	2
44	18	2
44	19	2
44	20	2
44	21	2
37	22	2
44	23	2
50	24	2
44	25	2
44	26	2
44	27	2
44	28	2
44	29	2
44	30	2
44	31	2
44	32	2
44	33	2
44	34	2
50	35	2
56	36	2
44	37	2
81	38	2
87	39	2
113	40	2
144	41	2
144	42	2
300	43	2
1469	44	2
269	45	2
50	46	2
44	47	2
44	48	2
44	1	3
50	2	3
44	3	3
44	4	3
44	5	3
44	6	3
37	7	3
44	8	3
44	9	3
37	10	3
44	11	3
44	12	3
125	13	3
75	14	3
44	15	3
44	16	3
44	17	3
44	18	3
44	19	3
44	20	3
44	21	3
69	22	3
75	23	3
44	24	3
525	25	3
1625	26	3
1725	27	3
1669	28	3
1656	29	3
1656	30	3
1631	31	3
1675	32	3
2169	33	3
2000	34	3
1712	35	3
1575	36	3
1538	37	3
1506	38	3
1494	39	3
1563	40	3
1525	41	3
1462	42	3
1456	43	3
1444	44	3
1375	45	3
1144	46	3
44	47	3
762	48	3
613	1	4
50	2	4
44	3	4
44	4	4
44	5	4
44	6	4
44	7	4
44	8	4
37	9	4
44	10	4
37	11	4
44	12	4
925	13	4
1381	14	4
1431	15	4
1456	16	4
1450	17	4
1462	18	4
1481	19	4
1494	20	4
1513	21	4
1594	22	4
1600	23	4
1631	24	4
1644	25	4
1650	26	4
1675	27	4
1706	28	4
1688	29	4
1694	30	4
1694	31	4
1712	32	4
1650	33	4
1681	34	4
1738	35	4
1763	36	4
1675	37	4
1625	38	4
1594	39	4
1575	40	4
1587	41	4
1556	42	4
1563	43	4
1606	44	4
1506	45	4
1438	46	4
1419	47	4
1425	48	4
1425	1	5
1413	2	5
1388	3	5
1344	4	5
1325	5	5
1300	6	5
1294	7	5
1138	8	5
713	9	5
50	10	5
44	11	5
44	12	5
