69	1	1
94	2	1
50	3	1
94	4	1
50	5	1
81	6	1
50	7	1
81	8	1
50	9	1
81	10	1
50	11	1
294	12	1
331	13	1
156	14	1
144	15	1
431	16	1
269	17	1
131	18	1
194	19	1
300	20	1
388	21	1
438	22	1
106	23	1
100	24	1
175	25	1
100	26	1
156	27	1
100	28	1
163	29	1
219	30	1
106	31	1
113	32	1
375	33	1
381	34	1
119	35	1
100	36	1
69	37	1
181	38	1
150	39	1
188	40	1
156	41	1
169	42	1
163	43	1
169	44	1
163	45	1
169	46	1
194	47	1
331	48	1
325	1	2
313	2	2
181	3	2
106	4	2
87	5	2
50	6	2
81	7	2
50	8	2
81	9	2
50	10	2
75	11	2
56	12	2
63	13	2
69	14	2
50	15	2
231	16	2
287	17	2
294	18	2
338	19	2
313	20	2
325	21	2
494	22	2
344	23	2
69	24	2
63	25	2
75	26	2
63	27	2
487	28	2
219	29	2
500	30	2
400	31	2
169	32	2
50	33	2
87	34	2
56	35	2
500	36	2
319	37	2
138	38	2
106	39	2
394	40	2
362	41	2
369	42	2
394	43	2
294	44	2
594	45	2
300	46	2
131	47	2
150	48	2
106	1	3
56	2	3
87	3	3
56	4	3
81	5	3
50	6	3
81	7	3
50	8	3
75	9	3
50	10	3
69	11	3
212	12	3
94	13	3
63	14	3
50	15	3
412	16	3
44	17	3
94	18	3
37	19	3
313	20	3
300	21	3
300	22	3
338	23	3
287	24	3
212	25	3
119	26	3
75	27	3
650	28	3
606	29	3
725	30	3
381	31	3
481	32	3
1606	33	3
1656	34	3
1725	35	3
1806	36	3
2231	37	3
731	38	3
406	39	3
619	40	3
1406	41	3
1431	42	3
1663	43	3
1469	44	3
644	45	3
1010	46	3
869	47	3
787	48	3
662	1	4
606	2	4
619	3	4
419	4	4
169	5	4
25	6	4
81	7	4
25	8	4
69	9	4
37	10	4
56	11	4
194	12	4
69	13	4
50	14	4
81	15	4
744	16	4
813	17	4
794	18	4
662	19	4
150	20	4
150	21	4
369	22	4
469	23	4
169	24	4
256	25	4
94	26	4
287	27	4
313	28	4
369	29	4
69	30	4
100	31	4
63	32	4
1450	33	4
1763	34	4
1712	35	4
